id,safra,y,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20,VAR_21,VAR_22,VAR_23,VAR_24,VAR_25,VAR_26,VAR_27,VAR_28,VAR_29,VAR_30,VAR_31,VAR_32,VAR_33,VAR_34,VAR_35,VAR_36,VAR_37,VAR_38,VAR_39,VAR_40,VAR_41,VAR_42,VAR_43,VAR_44,VAR_45,VAR_46,VAR_47,VAR_48,VAR_49,VAR_50,VAR_51,VAR_52,VAR_53,VAR_54,VAR_55,VAR_56,VAR_57,VAR_58,VAR_59,VAR_60,VAR_61,VAR_62,VAR_63,VAR_64,VAR_65,VAR_66,VAR_67,VAR_68,VAR_69,VAR_70,VAR_71,VAR_72,VAR_73,VAR_74,VAR_75,VAR_76,VAR_77,VAR_78
49,201412,1,51.0,0.0,0.0,2.0,,904.0,,,300.0,84.0,19.99,,,,,,,,0.0,10,,0.0,64.99,,0.0,,729.0,0.0,,300.0,,0.133832912727673,0.0,,59.99,,,,,2.0,,,,5.0,,,,,,,,,,300.0,,,33,,90.0,-0.354107585360257,,,,1,1012.01,3.0,,,84.98,,,174.0,,,,252.01,0.0,
59,201411,0,16.0,0.0,0.0,0.0,,2117.0,,,2289.18,115.0,,399.0,35.96,561.0,,42.0,500.0,29.0,19.0,12,714.0,22.0,24.12,,7.0,400.0,529.0,7.0,,2289.18,0.0,0.133832912727673,3.0,,,,,,187.0,4.0,,13.0,12.0,6.0,287.68,13.0,42.6,,,,561.0,,,2789.18,,,44,,134.05,-0.059298901120992,,418.0,,0,,7.0,-29.0,,168.84,10.17,0.0,495.0,0.0,0.0,,189.53,52.86,0.0
72,201411,0,0.0,0.0,0.0,0.0,81.97,2899.0,,,700.0,145.0,,,,342.0,,,700.0,31.0,20.0,12,459.0,26.0,97.47,81.97,0.0,0.0,,0.0,-6.0,700.0,,0.133832912727673,6.0,,,0.0,-6.0,,,3.0,0.0,-6.0,,6.0,,-6.0,,-6.0,0.0,113.6,342.0,,1400.0,700.0,113.6,113.6,63,81.0,,0.412255795406189,0.0,,113.6,0,,4.0,-78.0,-6.0,146.95,,0.0,378.0,0.0,0.0,340.8,,0.0,0.0
78,201411,1,85.0,0.0,1.0,1.0,33.81,391.0,,41.77,1000.0,,,,,,,,,,0.0,12,,0.0,,270.48,0.0,,113.0,0.0,,2000.0,,0.090634138151029,0.0,292.39,,,,,,0.0,,,,0.0,,,,,,,,,,1000.0,,,47,181.0,,0.079926420595367,,,,1,250.0,,,,,,,-4.0,,,,,,
98,201412,1,4.0,0.0,0.0,0.0,91.98,557.0,69.4,60.38,950.0,,43.18,,49.18,,34.99,,,,0.0,10,,0.0,,225.95,0.0,,329.0,0.0,,1900.0,,0.090634138151029,0.0,301.92,179.93,,,347.05,245.0,0.0,,,,0.0,245.94,,,,,,,139.96,,950.0,,,45,224.0,0.0,-0.0304781166421273,,,,1,559.38,,,,,,,36.0,,,,8.99,,
101,201412,0,20.0,0.0,0.0,0.0,17.38,3023.0,40.74,,2000.0,161.0,11.22,,43.57,537.0,68.12,,10212.49,20.0,7.0,10,358.0,35.0,44.46,86.94,0.0,350.0,212.0,0.0,-2.0,3000.0,0.0,0.133832912727673,28.0,,56.12,0.0,-2.0,115.92,217.0,5.0,0.0,34.0,,6.0,217.87,34.0,,-2.0,0.0,253.69,114.0,250.88,894.0,6500.0,253.69,274.5925,39,86.0,,-0.231735369185606,,,,0,516.87,7.0,-173.0,-2.0,162.34,0.0,1.0,167.0,0.0,1.0,1014.76,,0.0,1.0
116,201412,1,21.0,0.0,0.0,0.0,67.98,1192.0,,,1539.93,418.0,,149.0,,636.0,15.99,,,,0.0,12,,0.0,106.17,135.96,2.0,329.0,822.0,4.0,1.0,1539.93,0.0,0.133832912727673,0.0,,,,,,,7.0,,1.0,7.0,10.0,,3.0,,,,,636.0,15.99,,2239.93,,,31,135.0,260.3,-0.411786729965823,0.0,,153.57,0,,10.0,-7.0,,544.07,0.0,0.0,342.0,0.0,0.0,,321.87,124.83,0.0
123,201411,0,27.0,0.0,0.0,0.0,73.6,792.0,,,1000.0,30.0,,,52.77,414.0,140.24,,1500.0,,0.0,12,,0.0,30.59,365.25,0.0,317.0,143.0,0.0,3.0,1500.0,,0.133832912727673,0.0,,,0.0,3.0,,262.0,1.0,4.22,3.0,,2.0,263.9,3.0,,3.0,,189.12,317.0,500.65,3000.0,1000.0,167.45,210.79,38,260.0,35.36,-0.231735369185606,2.48,,145.78,1,1080.49,1.0,-841.0,3.0,30.59,0.0,0.0,277.0,0.0,0.0,1264.74,98.4,0.0,0.0
127,201412,0,33.0,0.0,0.0,1.0,129.95,1570.0,,81.96,1000.0,1213.0,112.62,351.0,,27.0,,2.0,,5.0,1.0,12,296.0,2.0,446.22,269.9,4.0,0.0,1027.0,5.0,,1200.0,2.0,0.133832912727673,1.0,113.94,233.92,,,,,8.0,,,4.0,12.0,,,0.0,,0.0,,27.0,,,1200.0,,,37,268.0,579.27,-0.231735369185606,,,,0,785.8,16.0,,,1217.71,,0.0,58.0,0.0,0.0,,1647.39,0.0,0.0
135,201411,0,0.0,0.0,0.0,0.0,,900.0,,,1000.0,37.0,,,49.26,672.0,,,2390.0,,0.0,12,,0.0,18.99,,0.0,308.0,,0.0,0.0,2000.0,0.0,0.133832912727673,0.0,,,0.0,0.0,,195.0,2.0,0.0,1.0,,3.0,260.84,1.0,,0.0,0.0,128.83,308.0,,2190.0,1590.0,128.83,128.83,24,,32.6,-0.411786729965823,0.0,,117.596666666667,0,,2.0,-42.0,0.0,37.98,2.24,0.0,586.0,0.0,0.0,386.49,32.6,0.0,0.0
139,201411,0,41.0,0.0,0.0,3.0,,330.0,,33.96,610.0,,34.97,,,,79.35,,610.0,,0.0,10,,0.0,,,0.0,,135.0,0.0,,610.0,,0.090634138151029,0.0,119.9,49.96,,,,,0.0,,,,0.0,,,,,,,,396.76,,610.0,,,62,,,0.357323965312407,,,,1,1565.29,,,,,,,56.0,,,,,,
152,201411,0,0.0,0.0,0.0,0.0,157.07,1127.0,6.98,13.33,400.0,575.0,14.66,314.0,40.95,,30.47,,,,0.0,5,,0.0,150.83,668.39,0.0,,,1.0,,800.0,,0.133832912727673,0.0,39.99,43.98,,,6.98,129.0,12.0,,,10.0,12.0,175.51,,,,,,,220.96,,400.0,,,34,531.0,334.22,-0.30845333657335,,,,0,2026.19,25.0,,,696.24,,,28.0,,,,288.58,117.31,
175,201412,1,4.0,0.0,0.0,0.0,102.29,822.0,,,1000.0,309.0,,,54.1,356.0,,,1000.0,,0.0,12,,0.0,68.85,818.32,0.0,0.0,626.0,0.0,31.0,1000.0,,0.133832912727673,0.0,,,11.88,31.0,,256.0,3.0,11.88,31.0,,7.0,378.7,31.0,,31.0,7.92,198.03,356.0,,2000.0,1000.0,198.03,198.03,37,537.0,319.05,-0.231735369185606,3.96,,198.03,0,1385.81,14.0,-9.0,18.0,481.95,,3.0,304.0,3.0,3.0,594.09,300.34,172.78,3.0
181,201412,1,21.0,0.0,0.0,0.0,157.77,442.0,,29.99,1500.0,,,,,112.0,,,,,0.0,9,,0.0,,252.85,0.0,53.0,400.0,0.0,6.0,2463.35,,0.090634138151029,0.0,29.99,,,6.0,,,0.0,,6.0,,0.0,,6.0,,6.0,5.63,,55.0,,500.0,2463.35,,275.1675,44,239.0,,-0.059298901120992,,,,1,810.01,,-48.0,,,,0.0,74.0,0.0,0.0,,,,0.0
189,201411,0,0.0,0.0,0.0,0.0,81.98,477.0,,,400.0,,,,,208.0,44.38,,1600.0,,0.0,4,,0.0,,245.95,0.0,131.0,,0.0,-4.0,400.0,,0.090634138151029,0.0,,,0.0,-4.0,,,0.0,0.0,-4.0,,0.0,,-4.0,,-4.0,,107.27,208.0,221.92,200.0,600.0,,,34,245.0,,-0.30845333657335,,,,1,660.8,,-31.0,-4.0,,,0.0,278.0,0.0,0.0,214.54,,,0.0
209,201412,0,0.0,0.0,0.0,0.0,,1339.0,,,1930.0,402.0,,692.0,,612.0,,,1930.0,,0.0,10,,0.0,91.19,,5.0,312.0,,7.0,-1.0,1930.0,0.0,0.133832912727673,0.0,,,0.0,-1.0,,,8.0,0.0,0.0,17.0,8.0,,1.0,,-1.0,0.0,334.81,310.0,,5000.0,2930.0,334.81,334.81,54,,,0.219380082347677,,,246.21,0,,22.0,-72.0,-4.0,406.83,0.0,0.0,900.0,0.0,0.0,669.62,,0.0,0.0
211,201412,0,20.0,0.0,0.0,0.0,105.31,1206.0,,,700.0,364.0,,167.0,32.31,494.0,66.29,,1000.0,,0.0,12,,0.0,108.22,290.93,2.0,349.0,792.0,3.0,7.0,700.0,0.0,0.133832912727673,0.0,,,4.8,7.0,,88.0,7.0,4.8,7.0,9.0,10.0,89.97,7.0,,4.0,,119.88,347.0,243.9,1300.0,700.0,119.88,,34,288.0,259.03,-0.30845333657335,2.4,,106.595,0,,21.0,-78.0,4.0,452.4,1.87,0.0,345.0,0.0,0.0,359.64,227.4,83.54,0.0
212,201411,1,11.0,0.0,0.0,0.0,,168.0,,,850.0,,187.49,,,,,,,,0.0,12,,0.0,,,0.0,,83.0,0.0,,850.0,,0.0571981886428283,0.0,,793.16,,,,,0.0,,,,0.0,,,,,,,,,,850.0,,,45,,,-0.0304781166421273,,,,1,59.95,,,,,,,13.0,,,,,,
240,201412,0,0.0,0.0,0.0,0.0,130.37,362.0,208.55,,2232.5,,166.8,,,,52.37,,,,0.0,12,,0.0,,746.15,0.0,,,0.0,,2232.5,,0.090634138151029,0.0,,1167.6,,,1184.45,,0.0,,,,0.0,,,,,,,,52.37,,2232.5,,,35,589.0,,-0.30845333657335,,,,1,802.87,,,,,,,134.0,,,,,,
244,201411,0,0.0,0.0,0.0,0.0,58.94,740.0,,,1000.0,315.0,,,,235.0,,,1000.0,,0.0,12,,0.0,65.25,112.92,0.0,183.0,,0.0,-20.0,2307.35,,0.133832912727673,0.0,,,0.0,-20.0,,,0.0,,-20.0,,0.0,,-20.0,,-32.0,,141.16,235.0,,500.0,1500.0,141.16,141.16,37,110.0,310.7,-0.231735369185606,,,,1,,12.0,-555.0,-32.0,400.0,,0.0,490.0,0.0,0.0,,393.62,83.58,0.0
250,201412,0,0.0,0.0,0.0,0.0,86.74,635.0,7.42,25.99,1380.0,278.0,65.91,,12.93,,96.05,,,,0.0,12,,0.0,54.61,535.42,0.0,,,0.0,,1380.0,,0.133832912727673,0.0,181.93,461.37,,,51.94,61.0,0.0,,,,0.0,90.51,,,,,,,744.98,,1380.0,,,51,359.0,267.26,0.156301087833759,,,,1,200.22,8.0,,,436.88,,,-35.0,,,,368.25,157.94,
256,201412,0,4.0,0.0,0.0,0.0,109.7,729.0,,,500.0,330.0,69.24,,75.24,374.0,31.51,,1500.0,,0.0,12,,0.0,71.56,401.02,0.0,10.0,106.0,0.0,2.0,500.0,,0.133832912727673,0.0,,451.77,2.01,2.0,,548.0,1.0,2.01,2.0,,1.0,705.3,2.0,,2.0,4.02,100.63,374.0,252.08,1500.0,500.0,100.63,100.63,32,333.0,329.13,-0.354107585360257,2.01,,100.63,1,1259.57,35.0,-4.0,1.0,500.92,,0.0,90.0,0.0,0.0,301.89,403.29,168.57,0.0
259,201411,0,0.0,0.0,0.0,0.0,108.43,4488.0,52.98,156.3,500.0,,29.96,,,,114.5,,,151.0,43.0,5,3721.0,48.0,,563.23,0.0,,,0.0,,500.0,,0.133832912727673,5.0,433.79,79.93,,,228.99,,0.0,,,,0.0,,,,,,,,572.59,,500.0,,,45,535.0,,-0.0304781166421273,,,,1,6847.35,,,,,,,20.0,,,,,,
271,201412,0,0.0,0.0,0.0,0.0,253.81,518.0,101.63,131.39,1000.0,,115.29,,,153.0,99.96,,2200.0,,0.0,6,,0.0,,596.73,0.0,28.0,,0.0,7.0,2500.0,,0.090634138151029,0.0,385.7,300.92,,7.0,304.93,,0.0,4.11,7.0,,0.0,,7.0,,7.0,8.22,205.56,153.0,435.88,500.0,1500.0,,205.56,46,587.0,,-0.016208722718011,,,,1,184.41,,,7.0,,,0.0,6.0,0.0,0.0,205.56,,,0.0
273,201411,1,4.0,0.0,0.0,0.0,,236.0,,79.8,758.25,,,,,,63.96,,,,0.0,12,,0.0,,,0.0,,160.0,0.0,,758.25,,0.0571981886428283,0.0,558.6,,,,,,0.0,,,,0.0,,,,,,,,511.68,,758.25,,,34,,,-0.30845333657335,,,,1,374.22,,,,,,,-8.0,,,,,,
279,201411,1,11.0,0.0,0.0,0.0,103.11,597.0,44.97,28.32,600.0,,41.98,,70.01,,49.68,,,,0.0,5,,0.0,,375.51,0.0,,167.0,0.0,,1200.0,,0.133832912727673,0.0,69.98,105.96,,,164.95,271.0,0.0,,,,0.0,274.34,,,,,,,221.94,,600.0,,,26,369.0,39.6,-0.411786729965823,,,,1,738.1,,,,,,,27.0,,,,117.04,,
300,201412,0,34.0,0.0,0.0,3.0,,274.0,,65.98,800.0,,,,,,38.44,,,,0.0,12,,0.0,,,0.0,,259.0,0.0,,800.0,,0.090634138151029,0.0,269.95,,,,,,0.0,,,,0.0,,,,,,,,269.08,,800.0,,,31,,,-0.411786729965823,,,,1,1267.47,,,,,,,37.0,,,,,,
305,201412,0,15.0,0.0,0.0,0.0,150.95,484.0,111.15,119.95,350.0,,59.23,,,,98.58,,,,0.0,5,,0.0,,301.91,0.0,,442.0,0.0,,350.0,,0.090634138151029,0.0,167.93,236.95,,,331.85,,0.0,,,,0.0,,,,,,,,244.38,,350.0,,,25,299.0,,-0.411786729965823,,,,1,1194.32,,,,,,,29.0,,,,,,
306,201412,1,0.0,0.0,0.0,0.0,,239.0,100.87,34.4,892.36,,50.62,,,,,,,,0.0,12,,0.0,,,0.0,,,0.0,,892.36,,0.0571981886428283,0.0,215.25,367.76,,,518.96,,0.0,,,,0.0,,,,,,,,,,892.36,,,18,,,-0.690749137734589,,,,1,54.87,,,,,,,-16.0,,,,,,
317,201411,0,0.0,0.0,0.0,0.0,228.57,1147.0,242.88,,1200.0,147.0,,828.0,445.78,179.0,,,1200.0,,0.0,10,,0.0,147.54,228.57,1.0,114.0,,2.0,-29.0,1200.0,,0.133832912727673,0.0,,,,-29.0,485.76,444.0,9.0,0.0,-29.0,9.0,11.0,445.78,-29.0,,-29.0,,261.83,179.0,,1313.0,2513.0,,261.83,45,228.0,602.02,-0.0304781166421273,,,,0,10170.03,1.0,-397.0,-29.0,147.54,,0.0,196.0,0.0,0.0,3141.96,451.58,0.0,0.0
320,201411,0,26.0,0.0,0.0,0.0,,268.0,,59.98,1000.0,,58.21,,,,30.71,,,,0.0,6,,0.0,,,0.0,,19.0,0.0,,1000.0,,0.090634138151029,0.0,59.98,227.53,,,,,0.0,,,,0.0,,,,,,,,214.97,,1000.0,,,45,,,-0.0304781166421273,,,,1,430.36,,,,,,,60.0,,,,,,
323,201412,0,32.0,0.0,0.0,3.0,47.49,1165.0,,,2000.0,685.0,,489.0,59.99,447.0,80.58,,4850.0,,0.0,12,,0.0,315.1,189.96,2.0,126.0,907.0,3.0,5.0,2000.0,,0.133832912727673,0.0,,,0.0,5.0,,179.0,9.0,0.0,6.0,7.0,10.0,179.97,6.0,,5.0,10.04,181.085,121.0,564.06,3050.0,3000.0,157.76,219.96,60,189.0,481.45,0.357323965312407,0.0,,157.76,0,548.0,12.0,-155.0,-3.0,844.0,3.16,0.0,191.0,0.0,0.0,1039.86,616.03,156.23,0.0
335,201411,1,29.0,0.0,0.0,0.0,,502.0,,,400.0,,23.99,,48.93,,,,,,0.0,12,,0.0,,,0.0,,462.0,0.0,,800.0,,0.090634138151029,0.0,,119.98,,,,239.0,0.0,,,,0.0,342.51,,,,,,,,,400.0,,,30,,,-0.411786729965823,,,,1,308.78,,,,,,,98.0,,,,,,
337,201412,1,21.0,0.0,0.0,0.0,67.0,852.0,30.51,19.99,1500.0,341.0,64.11,,,,7.32,,,,0.0,12,,0.0,75.71,350.94,0.0,,683.0,0.0,,3000.0,,0.133832912727673,0.0,59.99,198.92,,,69.36,,3.0,,,,4.0,,,,,,,,58.56,,1500.0,,,44,256.0,464.92,-0.059298901120992,,,,1,1598.23,29.0,,,420.5,,,49.0,,,,659.73,77.4,
338,201411,0,20.0,0.0,0.0,0.0,130.36,1736.0,79.39,88.82,884.0,262.0,121.55,302.0,108.16,,166.96,51.0,,31.0,8.0,6,818.0,9.0,54.67,495.35,12.0,,775.0,12.0,,1768.0,17.0,0.133832912727673,1.0,444.12,562.78,,,396.98,539.0,8.0,,,5.0,10.0,540.88,,212.82,,,,,1046.01,,884.0,,,53,492.0,327.23,0.219380082347677,,836.0,,0,302.75,14.0,,,382.69,,,21.0,,,,442.01,119.34,
351,201412,0,27.0,0.0,0.0,0.0,,231.0,1035.47,,1500.0,,,,,,,,,,0.0,12,,0.0,,,0.0,,91.0,0.0,,1500.0,,0.0571981886428283,0.0,,,,,1087.04,,0.0,,,,0.0,,,,,,,,,,1500.0,,,62,,,0.357323965312407,,,,1,2752.54,,,,,,,183.0,,,,,,
356,201412,1,60.0,0.0,0.0,1.0,182.98,878.0,,79.96,1931.06,515.0,,,35.3,,,,,,0.0,12,,0.0,109.14,939.71,0.0,,321.0,0.0,,1931.06,,0.133832912727673,0.0,199.92,,,,,168.0,2.0,,,,4.0,170.92,,,,,,,,,1931.06,,,34,935.0,582.37,-0.30845333657335,,,,1,798.05,18.0,,,517.78,,,12.0,,,,1153.09,0.0,
360,201412,0,0.0,0.0,0.0,0.0,110.95,388.0,30.05,9.52,750.0,,38.31,,,,13.49,,1721.89,,0.0,6,,0.0,,110.95,0.0,,,0.0,,1101.87,,0.090634138151029,0.0,66.64,162.97,,,180.3,,0.0,,,,0.0,,,,,,,,26.98,451.21,839.96,,,45,109.0,,-0.0304781166421273,,,,1,599.07,,,,,,,-51.0,,,,,,
363,201412,1,29.0,0.0,0.0,0.0,159.32,422.0,147.22,56.64,1000.0,,30.98,,,193.0,,,1000.0,,0.0,12,,0.0,,518.6,0.0,21.0,117.0,0.0,0.0,3000.0,,0.090634138151029,0.0,169.94,123.93,,0.0,179.71,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,124.67,193.0,,400.0,1400.0,,124.67,27,515.0,,-0.411786729965823,,,,1,1057.36,,-33.0,0.0,,,0.0,79.0,0.0,0.0,374.01,,,0.0
364,201411,1,21.0,0.0,0.0,0.0,,2665.0,,,2700.0,218.0,,272.0,38.25,696.0,,95.0,5200.0,46.0,31.0,12,1858.0,36.0,109.95,,8.0,434.0,1015.0,10.0,42.0,5200.0,25.0,0.133832912727673,5.0,,,17.1,42.0,,76.0,3.0,17.1,42.0,8.0,6.0,76.5,42.0,0.0,42.0,42.75,427.66,397.0,,5000.0,3900.0,427.66,427.66,55,,87.45,0.219380082347677,25.65,418.0,371.3825,0,,4.0,-676.0,42.0,219.9,0.0,6.0,655.0,6.0,6.0,855.32,87.45,0.0,6.0
377,201412,0,52.0,0.0,0.0,6.0,49.29,969.0,21.49,30.78,200.0,711.0,43.1,,,,,,300.0,,0.0,4,,0.0,160.92,345.03,0.0,,608.0,0.0,,200.0,,0.133832912727673,0.0,153.92,170.63,,,214.9,,6.0,,,,7.0,,,,,,,,,,200.0,,,30,232.0,258.34,-0.411786729965823,,,,0,210.09,37.0,,,793.43,,,60.0,,,,1241.36,77.29,
381,201411,1,,,,,,1854.0,,,1898.48,,,,,675.0,,35.0,4397.86,7.0,6.0,12,118.0,8.0,,,0.0,371.0,,0.0,3.0,3796.96,0.0,0.133832912727673,2.0,,,11.28,3.0,,,0.0,11.28,11.0,,0.0,,11.0,0.0,3.0,5.64,282.0,293.0,,3998.76,2898.48,282.0,282.0,36,,,-0.231735369185606,,,,1,,,-13.0,3.0,,7.96,0.0,1792.0,0.0,0.0,564.0,,,0.0
382,201412,1,89.0,0.0,7.0,2.0,121.1,3824.0,,71.47,500.0,953.0,112.96,254.0,257.14,,,,,83.0,32.0,6,1714.0,62.0,501.96,496.79,3.0,,212.0,9.0,,500.0,,0.133832912727673,30.0,285.88,167.95,,,,598.0,6.0,,,5.0,11.0,625.32,,,,,,,,,500.0,,,31,426.0,882.26,-0.411786729965823,,,,0,703.82,28.0,,,967.17,,,84.0,,,,1361.47,0.0,
384,201412,0,0.0,0.0,0.0,0.0,199.05,950.0,165.34,28.71,1829.74,845.0,256.86,,92.35,434.0,20.18,,2429.74,,0.0,12,,0.0,202.12,1052.4,0.0,188.0,,0.0,4.0,2429.74,0.0,0.133832912727673,0.0,86.14,1027.44,2.94,4.0,1690.94,460.0,5.0,,4.0,,7.0,685.17,4.0,,,,,434.0,161.44,3200.0,5829.74,146.84,,45,722.0,1190.0,-0.0304781166421273,0.0,,146.84,0,2472.42,23.0,-1.0,,1230.1,0.0,0.0,6.0,0.0,0.0,,3116.92,380.46,0.0
427,201412,0,21.0,0.0,0.0,0.0,39.98,1309.0,67.4,86.65,600.0,78.0,,299.0,69.57,917.0,,0.0,5600.0,,0.0,4,,0.0,26.32,79.97,5.0,537.0,327.0,7.0,11.0,1200.0,0.0,0.133832912727673,0.0,259.96,,0.0,11.0,337.0,294.0,8.0,11.25,11.0,15.0,8.0,412.04,17.0,0.0,11.0,7.5,187.49,331.0,,5000.0,1600.0,187.49,187.49,45,78.0,35.89,-0.0304781166421273,0.0,,187.49,0,944.2,3.0,-96.0,7.0,78.96,3.68,0.0,1.0,0.0,0.0,562.47,40.82,0.0,0.0
445,201411,0,3.0,0.0,0.0,0.0,,260.0,55.96,15.55,600.0,,20.66,,,,,,1000.0,,0.0,12,,0.0,,,0.0,,46.0,0.0,,600.0,,0.0571981886428283,0.0,108.85,61.98,,,215.05,,0.0,,,,0.0,,,,,,,,,,600.0,,,33,,,-0.354107585360257,,,,1,773.65,,,,,,,-61.0,,,,,,
