id,safra,y,VAR_1,VAR_72,VAR_53,VAR_65,VAR_6,VAR_17,VAR_30,VAR_57,VAR_9,VAR_54,VAR_59,VAR_76,VAR_7,VAR_11,VAR_5,VAR_34,VAR_38,VAR_15,VAR_35,VAR_8,VAR_13,VAR_52,VAR_24,VAR_45,VAR_58,VAR_39,VAR_20,VAR_40,VAR_44,VAR_25,VAR_60,VAR_2,VAR_28,VAR_19
12,201408,0,0.0,-1.0,1000.0,26.89,2941.0,3000.0,2068.79,45,1000.0,,177.13,228.86,38.3,33.83,,372.14,268.1,42.41,236.81,57.44,75.45,224.95,,488.47,,414.0,12,0.0,0.0,0.0,-0.0304781166421273,0.0,0.0,5.0
14,201401,0,0.0,431.0,1500.0,,1903.0,1200.0,750.0,52,750.0,1000.0,199.96,187.87,,,42.15,,,,,,54.97,,295.05,109.95,209.0,108.0,12,11.0,12.0,11.0,0.156301087833759,0.0,12.0,14.0
16,201402,1,167.0,-21.0,3939.54,376.95,1542.0,,1500.0,42,1500.0,469.77,144.0,590.43,,10.61,,400.83,,,74.27,110.08,,,,,,,12,10.0,10.0,0.0,-0.0737564789495467,6.0,5.0,5.0
18,201404,0,102.0,66.0,600.0,430.6,407.0,2067.17,600.0,45,600.0,600.0,,,,,60.93,191.64,,,,63.88,,,468.82,,307.0,,12,0.0,0.0,0.0,-0.0304781166421273,6.0,0.0,0.0
19,201407,1,0.0,1.0,1985.5,166.82,203.0,,1985.5,51,1985.5,1985.5,,,35.32,32.11,,25.98,105.98,,224.77,25.98,,,,,,,12,0.0,0.0,0.0,0.156301087833759,0.0,0.0,0.0
21,201406,0,15.0,101.0,1100.0,0.0,101.0,,1600.0,27,600.0,1100.0,,,,74.17,,,,,593.36,,,,,,,,12,0.0,0.0,0.0,-0.411786729965823,0.0,0.0,0.0
22,201402,1,0.0,215.0,4041.15,4800.0,410.0,5582.3,5000.0,68,2500.0,1541.15,,,2.97,,37.55,,2.97,,,,,,262.85,,178.0,,12,0.0,0.0,0.0,0.648196909605187,0.0,0.0,0.0
23,201404,1,0.0,864.0,6018.18,,3418.0,1006.06,3000.0,44,3000.0,1006.06,,,,,,,,,,,,,,,,,12,3.0,4.0,0.0,-0.059298901120992,0.0,0.0,41.0
24,201401,0,175.0,37.0,2000.0,892.16,210.0,,1000.0,45,1000.0,,,,43.99,,,239.9,131.97,,,111.95,,,,,,,12,0.0,0.0,0.0,-0.0304781166421273,6.0,0.0,0.0
25,201401,0,0.0,110.0,4000.0,1218.96,628.0,2000.0,2000.0,67,2000.0,3000.0,25.09,33.14,,32.28,27.99,,,,258.24,,32.09,,139.98,172.68,139.0,158.0,12,0.0,0.0,0.0,0.648196909605187,0.0,0.0,0.0
26,201402,1,97.0,-28.0,2436.46,719.13,275.0,1218.23,1218.23,65,1218.23,,,,,82.41,84.76,289.12,,,411.97,58.44,,,593.32,,395.0,,12,0.0,0.0,0.0,0.534878115446101,1.0,0.0,0.0
27,201401,0,0.0,386.0,3148.58,,887.0,1848.58,1800.0,55,500.0,2245.74,327.28,106.74,,,39.09,,,,,,38.49,,195.45,192.47,195.0,192.0,5,5.0,6.0,0.0,0.219380082347677,0.0,0.0,0.0
28,201404,0,41.0,-16.0,1200.0,0.0,626.0,,1200.0,56,1200.0,1200.0,79.37,391.66,,36.73,74.94,386.32,,46.96,257.11,48.29,102.64,184.9,389.59,513.25,276.0,512.0,12,0.0,0.0,0.0,0.242879678877368,0.0,0.0,0.0
29,201406,0,0.0,566.0,2640.0,,1302.0,3560.0,,26,2000.0,1550.0,166.92,175.65,,,,,,,,,59.99,,,59.99,,59.0,8,6.0,9.0,6.0,-0.411786729965823,0.0,7.0,0.0
30,201405,0,21.0,41.0,1700.0,251.79,4926.0,,1000.0,46,1000.0,2400.0,488.15,697.33,56.97,63.01,92.43,213.9,137.95,23.99,294.9,59.58,124.72,71.97,469.58,398.83,422.0,393.0,12,12.0,12.0,9.0,-0.016208722718011,0.0,10.0,19.0
33,201407,0,123.0,4.0,2759.03,5736.22,3975.0,,2759.03,46,2759.03,2759.03,1422.43,2779.81,93.97,97.97,250.81,269.27,147.96,251.6,195.96,177.6,158.93,449.89,735.76,361.85,732.0,359.0,12,6.0,11.0,6.0,-0.016208722718011,1.0,12.0,39.0
34,201408,0,25.0,12.0,1000.0,430.68,1091.0,,1846.82,36,1000.0,1000.0,378.07,461.27,82.65,56.19,45.82,91.96,578.55,47.9,223.86,91.96,87.77,217.03,245.8,266.16,174.0,217.0,12,8.0,11.0,0.0,-0.231735369185606,0.0,0.0,0.0
35,201407,0,10.0,-42.0,1735.39,945.78,309.0,,1735.39,32,1735.39,1735.39,,,22.97,3.79,,197.82,109.33,57.45,3.79,28.26,,411.06,,,,,12,0.0,0.0,0.0,-0.354107585360257,0.0,0.0,0.0
37,201403,0,4.0,109.0,1202.14,1545.59,580.0,,692.96,25,692.96,1202.14,0.0,30.68,29.69,43.31,185.28,,59.38,,109.97,,37.28,,960.25,142.01,837.0,111.0,12,0.0,0.0,0.0,-0.411786729965823,0.0,0.0,0.0
38,201405,0,0.0,393.0,2000.0,,2041.0,2000.0,1000.0,55,1000.0,1000.0,366.86,0.0,,,30.68,,,,,,41.62,,214.76,332.96,143.0,217.0,12,2.0,3.0,1.0,0.219380082347677,0.0,2.0,18.0
39,201401,1,170.0,6.0,3224.25,1534.01,2653.0,1433.11,1433.11,32,1433.11,358.03,,,,25.99,,119.98,,,51.98,23.99,,,,,,,12,0.0,0.0,0.0,-0.354107585360257,3.0,0.0,16.0
40,201408,1,4.0,-48.0,2608.04,411.49,878.0,6000.0,2400.0,46,1200.0,1552.01,519.86,292.45,8.96,127.01,118.37,1210.79,8.96,101.65,779.06,172.97,77.63,711.55,828.59,552.66,649.0,373.0,12,4.0,4.0,0.0,-0.016208722718011,0.0,0.0,0.0
42,201401,0,0.0,70.0,2000.0,8862.28,4414.0,1000.0,1000.0,69,1000.0,1000.0,722.08,681.45,73.16,21.99,95.96,61.91,365.86,,109.97,12.38,103.94,,479.82,519.77,477.0,516.0,12,11.0,12.0,12.0,0.721630021341369,0.0,12.0,86.0
43,201407,1,102.0,51.0,2000.0,550.51,1622.0,,2000.0,37,2000.0,2000.0,,,34.97,24.78,,181.93,69.95,17.99,123.91,36.38,,89.98,,,,,12,0.0,0.0,6.0,-0.231735369185606,1.0,7.0,5.0
44,201401,1,154.0,69.0,400.0,459.17,495.0,200.0,200.0,32,200.0,,,,,33.91,37.5,,,67.62,237.37,,26.99,270.48,225.09,188.93,181.0,127.0,6,0.0,0.0,0.0,-0.354107585360257,3.0,0.0,0.0
45,201405,0,0.0,27.0,4208.39,575.58,1793.0,,700.0,35,700.0,1519.54,408.5,372.25,15.12,68.55,139.96,116.7,30.25,66.96,262.89,29.16,58.2,440.78,671.91,229.86,611.0,224.0,6,12.0,12.0,10.0,-0.30845333657335,0.0,12.0,10.0
46,201402,0,48.0,254.0,3600.0,709.7,2157.0,2400.0,1000.0,41,1000.0,,263.98,290.57,,,59.96,,,70.29,,,139.66,312.09,99.94,392.81,97.0,388.0,10,1.0,3.0,0.0,-0.133343746407103,0.0,0.0,9.0
50,201406,0,0.0,237.0,1000.0,,1840.0,1593.0,1000.0,30,1000.0,1000.0,279.71,49.21,70.98,,,,141.96,,,,,,,,,,12,2.0,3.0,0.0,-0.411786729965823,0.0,0.0,1.0
51,201406,0,26.0,49.0,3292.0,164.36,1016.0,,4116.0,42,1692.0,1692.0,361.63,653.48,,93.56,140.33,232.0,,50.13,291.88,46.4,127.92,217.36,653.86,463.7,650.0,461.0,10,8.0,9.0,0.0,-0.0737564789495467,0.0,0.0,0.0
52,201405,0,0.0,32.0,6300.0,50.03,875.0,4000.0,2300.0,57,2300.0,10600.0,43.53,87.06,,53.93,104.1,50.0,,,377.51,50.0,39.18,,104.1,313.44,104.0,202.0,12,1.0,2.0,0.0,0.319424920164188,0.0,0.0,0.0
53,201401,1,179.0,-43.0,3100.0,557.43,2944.0,2300.0,1300.0,31,1300.0,,227.72,673.6,29.33,23.36,105.69,190.93,71.0,21.8,116.83,66.52,67.25,109.0,489.02,318.98,484.0,299.0,10,1.0,1.0,0.0,-0.411786729965823,6.0,0.0,17.0
54,201405,0,21.0,13.0,5500.0,625.86,1378.0,2500.0,2000.0,46,1000.0,2500.0,0.0,81.44,50.91,,121.81,67.97,299.65,38.7,,47.97,76.63,77.4,468.99,229.9,370.0,228.0,4,0.0,0.0,4.0,-0.016208722718011,0.0,9.0,0.0
55,201409,1,0.0,120.0,6518.06,420.0,2692.0,5759.03,3000.0,39,2500.0,2500.0,322.73,390.92,75.74,48.65,115.11,,230.88,50.96,175.97,,133.11,150.96,326.87,517.31,323.0,453.0,12,0.0,1.0,0.0,-0.231735369185606,0.0,0.0,10.0
57,201401,1,11.0,134.0,1600.0,1105.62,1626.0,800.0,800.0,66,800.0,,276.74,135.87,31.19,51.91,60.47,,218.33,,519.1,,,,457.67,,298.0,,10,2.0,6.0,4.0,0.534878115446101,0.0,8.0,5.0
60,201405,1,90.0,23.0,1878.36,1656.17,624.0,,1878.36,35,1878.36,1878.36,39.71,101.0,,19.99,46.63,199.97,,,99.97,39.99,51.16,,119.95,255.88,117.0,254.0,12,0.0,0.0,0.0,-0.30845333657335,0.0,0.0,0.0
61,201405,1,78.0,60.0,7425.0,470.01,2125.0,2400.0,1500.0,29,1500.0,3643.75,146.98,363.77,,,,39.99,,,,39.99,,,,,,,12,6.0,9.0,5.0,-0.411786729965823,0.0,12.0,19.0
63,201404,0,0.0,80.0,1000.0,693.97,276.0,,1000.0,73,1000.0,,,,,76.75,,4.99,,50.57,383.79,4.99,,252.88,,,,,12,0.0,0.0,0.0,0.721630021341369,0.0,0.0,0.0
64,201407,0,11.0,188.0,600.0,1117.39,733.0,,600.0,41,600.0,600.0,270.29,411.98,62.25,,72.55,,221.32,,,,53.3,,362.81,159.92,360.0,159.0,6,0.0,0.0,0.0,-0.133343746407103,0.0,0.0,0.0
65,201406,0,0.0,24.0,2600.0,562.04,694.0,2500.0,1000.0,71,1000.0,1000.0,198.81,250.35,,19.99,,37.96,,,19.99,18.98,38.38,,,191.94,,191.0,6,0.0,0.0,0.0,0.721630021341369,0.0,0.0,0.0
66,201403,1,28.0,117.0,2160.0,1878.04,995.0,800.0,1000.0,51,1000.0,2040.0,7.72,11.62,17.63,23.32,39.77,,88.18,,69.98,,,,198.87,,197.0,,10,7.0,9.0,0.0,0.156301087833759,0.0,0.0,0.0
68,201401,0,0.0,823.0,1000.0,,1930.0,600.0,500.0,37,500.0,600.0,230.3,211.3,,,,,,,,,,,,,,,12,8.0,10.0,12.0,-0.231735369185606,0.0,12.0,12.0
69,201405,0,26.0,-41.0,500.0,890.42,809.0,1000.0,500.0,32,500.0,1500.0,419.79,423.93,,,,430.16,,85.81,,53.77,70.96,600.67,,567.68,,369.0,6,3.0,5.0,0.0,-0.354107585360257,0.0,0.0,0.0
70,201404,0,67.0,53.0,1000.0,1192.46,226.0,,1000.0,30,1000.0,1000.0,,,71.98,113.63,,209.96,155.97,,274.94,61.23,,,,,,,12,0.0,0.0,0.0,-0.411786729965823,0.0,0.0,0.0
71,201407,0,0.0,47.0,8607.81,860.01,4774.0,,3000.0,70,3000.0,3000.0,225.89,390.42,,,15.99,39.99,,,,39.99,280.85,,15.99,546.7,15.0,540.0,12,7.0,11.0,0.0,0.721630021341369,0.0,0.0,27.0
73,201402,0,56.0,-6.0,1638.0,648.09,461.0,1050.0,819.0,71,819.0,,,,,19.99,86.12,311.92,,,39.99,44.56,,,314.83,,285.0,,12,0.0,0.0,0.0,0.721630021341369,0.0,0.0,0.0
74,201408,0,64.0,587.0,1960.3,,3287.0,,3920.6,35,1960.3,3920.6,604.08,881.22,,,,,,,,,25.13,,,175.95,,175.0,12,4.0,8.0,2.0,-0.30845333657335,0.0,4.0,13.0
75,201402,1,87.0,-55.0,9775.51,,876.0,,2668.0,38,2668.0,4000.0,170.23,133.48,,,,529.12,,,,66.14,11.49,,,22.99,,22.0,12,4.0,5.0,0.0,-0.231735369185606,0.0,0.0,0.0
76,201409,0,14.0,190.0,,981.26,635.0,2291.06,3082.12,35,791.06,791.06,139.85,193.89,,,43.18,,,89.56,,,51.98,653.28,215.94,259.93,215.0,259.0,12,0.0,0.0,0.0,-0.30845333657335,0.0,0.0,0.0
77,201408,1,107.0,28.0,,1565.61,341.0,390.0,390.0,31,390.0,390.0,,,76.16,,,81.96,260.9,32.58,,22.38,,117.76,,,,,5,0.0,0.0,0.0,-0.411786729965823,1.0,0.0,0.0
79,201402,0,37.0,-12.0,5703.54,764.16,1206.0,3900.0,2250.0,45,1000.0,4710.01,426.8,368.73,,,83.1,912.96,,19.25,,154.14,59.08,57.77,386.86,472.64,284.0,307.0,12,12.0,12.0,1.0,-0.0304781166421273,0.0,3.0,0.0
80,201405,0,0.0,644.0,1000.0,,1406.0,3500.0,1000.0,44,1000.0,2000.0,141.85,212.77,,,,,,,,,63.72,,,254.89,,254.0,12,10.0,11.0,6.0,-0.059298901120992,0.0,8.0,0.0
81,201401,0,55.0,-45.0,1800.0,5315.31,4632.0,,900.0,69,900.0,,324.16,112.84,,26.79,,509.56,,,133.97,103.97,,,,,,,12,10.0,11.0,9.0,0.721630021341369,0.0,11.0,48.0
82,201408,0,34.0,96.0,4549.46,508.99,1045.0,2825.46,3049.46,32,1000.0,1500.0,199.71,153.4,105.3,98.73,,,367.93,79.98,394.92,,57.4,159.97,,459.2,,291.0,6,5.0,8.0,0.0,-0.354107585360257,0.0,0.0,0.0
83,201404,0,80.0,47.0,400.0,308.3,1004.0,,400.0,32,400.0,400.0,485.65,754.02,83.45,91.27,,168.16,333.82,56.0,456.43,36.23,43.99,280.0,,219.96,,219.0,10,4.0,8.0,0.0,-0.354107585360257,0.0,0.0,0.0
84,201407,0,6.0,100.0,4500.0,2218.19,1068.0,,4500.0,55,1500.0,1500.0,27.24,78.9,,0.99,41.58,,,88.27,0.99,,149.85,617.89,207.93,858.72,207.0,855.0,12,9.0,11.0,0.0,0.219380082347677,0.0,0.0,0.0
85,201404,0,49.0,21.0,600.0,2842.2,706.0,,600.0,31,600.0,600.0,282.71,291.7,,35.99,,139.98,,,71.98,69.99,128.51,,,481.29,,480.0,10,0.0,0.0,0.0,-0.411786729965823,0.0,0.0,0.0
86,201402,1,158.0,224.0,1320.0,1430.85,875.0,500.0,500.0,32,500.0,320.0,174.62,539.62,33.18,,56.36,,117.95,27.99,,,54.45,139.97,132.93,279.33,130.0,189.0,12,3.0,4.0,0.0,-0.354107585360257,6.0,0.0,0.0
87,201408,0,23.0,13.0,6446.4,5113.63,2444.0,,2700.0,68,1200.0,3200.0,307.95,409.29,63.69,52.98,126.61,495.02,370.89,,98.96,85.95,118.78,,419.85,469.93,416.0,466.0,12,10.0,11.0,11.0,0.648196909605187,0.0,11.0,29.0
88,201404,0,4.0,101.0,2913.41,1566.0,999.0,3000.0,713.41,68,713.41,713.41,159.32,150.11,15.99,14.0,91.28,,15.99,,14.0,,98.1,,638.96,606.76,501.0,417.0,12,8.0,9.0,0.0,0.648196909605187,0.0,0.0,0.0
89,201404,0,21.0,-76.0,800.0,558.34,684.0,,1600.0,45,800.0,800.0,273.89,281.64,17.97,11.21,,314.09,143.76,53.5,78.47,44.87,53.13,374.54,,375.24,,259.0,12,0.0,0.0,0.0,-0.0304781166421273,0.0,0.0,0.0
90,201402,1,159.0,-20.0,8800.0,266.44,191.0,1900.0,6900.0,25,2500.0,,,,62.19,19.32,,446.67,246.01,,57.96,71.81,,,,,,,12,0.0,0.0,0.0,-0.411786729965823,3.0,0.0,0.0
92,201407,0,0.0,219.0,800.0,,553.0,,800.0,31,800.0,800.0,0.0,45.11,4.99,,39.13,,4.99,51.92,,,38.22,288.37,117.95,305.76,116.0,203.0,8,0.0,0.0,0.0,-0.411786729965823,0.0,0.0,0.0
93,201409,0,19.0,67.0,2400.0,1245.11,3515.0,3300.0,3000.0,54,1500.0,6600.0,257.36,260.0,,278.57,,385.49,,,835.74,55.07,,,,,,,12,7.0,11.0,9.0,0.219380082347677,0.0,10.0,52.0
95,201408,1,6.0,-18.0,800.0,1321.3,565.0,,1600.0,36,800.0,800.0,0.0,102.18,114.28,49.96,304.31,82.75,423.87,112.76,59.96,36.49,125.25,255.88,635.3,293.84,604.0,290.0,12,0.0,0.0,0.0,-0.231735369185606,0.0,0.0,0.0
96,201408,0,51.0,-14.0,1042.07,1075.05,604.0,,1042.07,29,1042.07,2084.14,45.89,88.9,,34.79,56.18,454.14,,89.35,173.96,75.51,79.88,714.8,393.26,171.66,268.0,171.0,12,0.0,0.0,0.0,-0.411786729965823,0.0,0.0,0.0
97,201407,0,21.0,34.0,2200.0,473.12,1378.0,500.0,1700.0,47,1000.0,1600.0,211.64,766.36,88.96,80.46,143.61,232.57,225.93,44.98,222.93,64.36,124.61,119.96,400.89,315.9,397.0,312.0,6,9.0,12.0,8.0,0.079926420595367,0.0,9.0,0.0
99,201407,0,11.0,450.0,1000.0,,3009.0,1000.0,1000.0,46,1000.0,1500.0,770.8,1479.47,,,35.84,,,,,,92.76,,286.72,463.84,183.0,461.0,3,12.0,12.0,3.0,-0.016208722718011,0.0,6.0,38.0
100,201405,0,0.0,147.0,700.0,1487.29,292.0,,700.0,45,700.0,700.0,,,,20.99,12.71,,,,41.98,,,,101.68,,66.0,,12,0.0,0.0,0.0,-0.0304781166421273,0.0,0.0,0.0
102,201402,0,19.0,27.0,300.0,,707.0,,150.0,35,150.0,,161.7,779.17,,,,129.95,,95.29,,43.31,203.34,285.89,,321.13,,281.0,6,0.0,0.0,0.0,-0.30845333657335,0.0,0.0,0.0
104,201401,1,179.0,1.0,2583.46,1214.48,529.0,1291.73,1291.73,48,1291.73,,,,75.98,21.68,131.99,253.91,75.98,,43.37,50.78,,,459.99,,459.0,,12,0.0,0.0,0.0,0.079926420595367,3.0,0.0,0.0
105,201408,1,28.0,-49.0,800.0,336.74,165.0,,1600.0,30,800.0,800.0,,,,43.45,,274.32,,,108.76,34.29,,,,,,,12,0.0,0.0,0.0,-0.411786729965823,0.0,0.0,0.0
106,201401,0,0.0,4.0,520.0,2111.95,223.0,,260.0,37,260.0,,,,26.63,52.47,,64.93,133.16,,205.94,28.95,,,,,,,6,0.0,0.0,0.0,-0.231735369185606,0.0,0.0,0.0
107,201402,0,0.0,700.0,3000.0,,1655.0,,1000.0,55,1000.0,,372.41,341.51,,,,,,,,,65.47,,,261.91,,261.0,12,11.0,12.0,10.0,0.219380082347677,0.0,11.0,6.0
108,201405,0,24.0,119.0,1550.0,2032.18,641.0,,1550.0,52,1550.0,1550.0,51.85,105.54,27.32,245.91,,,81.97,39.99,492.88,,111.29,39.99,,673.09,,453.0,12,0.0,0.0,0.0,0.156301087833759,0.0,0.0,0.0
109,201407,1,19.0,78.0,800.0,132.5,217.0,,800.0,44,800.0,800.0,,,76.97,19.79,,163.0,384.9,,98.99,32.6,,,,,,,12,0.0,0.0,0.0,-0.059298901120992,0.0,0.0,0.0
110,201406,1,11.0,-77.0,1500.0,484.75,244.0,,1500.0,62,1500.0,1500.0,,,143.51,16.86,,606.18,629.75,,118.02,80.89,,,,,,,12,0.0,0.0,0.0,0.357323965312407,0.0,0.0,0.0
111,201406,0,4.0,14.0,1000.0,462.62,683.0,,1000.0,55,1000.0,1000.0,256.26,48.85,,20.74,,257.95,,,145.18,62.39,72.42,,,301.03,,262.0,12,0.0,0.0,0.0,0.219380082347677,0.0,0.0,0.0
113,201407,0,28.0,14.0,3803.87,0.0,1170.0,2000.0,1000.0,49,1000.0,2601.29,315.54,367.66,101.97,102.77,145.29,105.64,449.92,,885.53,36.56,63.37,,1014.45,225.93,826.0,223.0,12,9.0,12.0,2.0,0.079926420595367,0.0,3.0,0.0
114,201401,0,41.0,46.0,3883.74,1089.97,210.0,1294.58,1294.58,32,1294.58,,,,95.96,144.09,,137.95,323.88,,287.88,68.97,,,,,,,12,0.0,0.0,0.0,-0.354107585360257,0.0,0.0,0.0
115,201402,0,6.0,29.0,2296.0,166.56,801.0,1985.86,1148.0,58,1148.0,1985.86,379.61,384.64,83.03,,187.72,458.82,419.64,54.66,,101.09,111.78,114.0,563.21,375.52,560.0,372.0,12,2.0,3.0,0.0,0.357323965312407,0.0,0.0,0.0
117,201403,1,,743.0,1260.0,,987.0,130.0,1000.0,45,1000.0,1000.0,,,,,,,,,,,,,,,,,12,8.0,10.0,0.0,-0.0304781166421273,,0.0,0.0
118,201408,0,0.0,157.0,700.0,573.38,157.0,700.0,700.0,22,700.0,700.0,,,84.24,,,,589.68,,,,,,,,,,4,0.0,0.0,0.0,-0.690749137734589,0.0,0.0,0.0
119,201406,0,0.0,115.0,2000.0,,600.0,2500.0,2000.0,29,2000.0,4500.0,0.0,33.89,46.63,,,,199.81,,,,26.99,,,53.99,,53.0,12,0.0,0.0,0.0,-0.411786729965823,0.0,0.0,0.0
120,201405,0,21.0,199.0,4380.0,262.16,1614.0,2000.0,1380.0,40,1380.0,2880.0,178.8,355.91,,,67.96,,,48.48,,,45.13,339.36,258.63,279.95,257.0,220.0,12,5.0,12.0,8.0,-0.133343746407103,0.0,12.0,3.0
121,201404,0,0.0,218.0,153.78,416.66,218.0,150.0,353.78,38,153.78,153.78,,,,,,,,27.78,,,,222.24,,,,,12,0.0,0.0,0.0,-0.231735369185606,0.0,0.0,0.0
122,201402,1,169.0,24.0,2550.0,1006.37,357.0,1275.0,1275.0,54,1275.0,,,,50.1,,,223.51,350.7,187.18,,223.51,,325.36,,,,,12,0.0,0.0,0.0,0.219380082347677,3.0,0.0,0.0
124,201405,0,111.0,273.0,1000.0,,2450.0,1981.12,1000.0,31,1000.0,1000.0,205.91,152.0,,,85.95,,,56.97,,,55.89,238.9,137.89,279.5,136.0,278.0,12,5.0,10.0,6.0,-0.411786729965823,1.0,7.0,17.0
125,201405,0,0.0,121.0,2776.05,351.18,455.0,1000.0,1776.05,48,1776.05,1776.05,,,173.25,16.53,36.49,,607.96,21.45,115.71,,1.94,150.15,255.43,15.52,175.0,9.0,12,0.0,0.0,0.0,0.079926420595367,0.0,0.0,0.0
126,201404,1,107.0,-38.0,1200.0,327.26,418.0,,1200.0,47,1200.0,1200.0,,,70.18,,48.59,272.74,140.37,,,74.67,,,340.13,,220.0,,12,0.0,0.0,0.0,0.079926420595367,1.0,0.0,0.0
128,201402,0,16.0,15.0,3400.0,906.08,1915.0,200.0,1700.0,28,1500.0,,653.73,666.25,280.96,123.97,512.17,165.94,568.92,257.81,211.95,135.95,318.9,495.64,1011.7,607.84,1003.0,601.0,12,12.0,12.0,11.0,-0.411786729965823,0.0,11.0,9.0
129,201408,0,46.0,102.0,1265.64,137.47,444.0,1862.56,1600.0,37,800.0,800.0,,,57.49,33.53,76.47,,204.95,24.1,234.71,,,120.53,152.95,,152.0,,12,0.0,0.0,0.0,-0.231735369185606,0.0,0.0,0.0
130,201408,0,16.0,154.0,500.0,622.82,511.0,1000.0,500.0,33,500.0,500.0,,,66.93,0.98,71.97,,310.95,,0.98,,,,251.95,,249.0,,10,0.0,0.0,0.0,-0.354107585360257,0.0,0.0,0.0
131,201401,0,0.0,20.0,500.0,2150.03,479.0,250.0,250.0,57,250.0,,,,29.99,,37.35,37.77,119.96,,,18.88,,,91.38,,90.0,,12,0.0,0.0,0.0,0.319424920164188,0.0,0.0,0.0
132,201408,0,1.0,35.0,3000.0,3010.16,301.0,,6000.0,73,3000.0,,,,39.98,41.48,,515.82,119.95,74.86,82.97,124.22,,374.32,,,,,12,0.0,0.0,0.0,0.721630021341369,0.0,0.0,0.0
133,201407,0,0.0,50.0,4400.0,84.61,596.0,4500.0,7700.0,41,2400.0,2400.0,114.6,31.1,32.97,71.03,48.69,,65.95,,497.21,,70.57,,340.83,494.05,229.0,388.0,12,0.0,0.0,0.0,-0.133343746407103,0.0,0.0,0.0
134,201406,1,156.0,26.0,1434.32,74.67,177.0,,919.0,53,919.0,919.0,,,108.16,23.85,,,865.28,,166.95,,,,,,,,12,0.0,0.0,0.0,0.219380082347677,3.0,0.0,0.0
136,201407,0,,1216.0,7584.78,,2916.0,2418.97,1200.0,33,1200.0,1923.42,,,,,,,,,,,,,,,,,12,3.0,3.0,7.0,-0.354107585360257,,8.0,23.0
137,201405,0,0.0,805.0,2000.0,,805.0,2800.0,1000.0,59,1000.0,1000.0,358.45,287.95,,,,,,,,,,,,,,,12,3.0,6.0,0.0,0.357323965312407,0.0,0.0,0.0
138,201406,0,6.0,32.0,793.94,433.2,1455.0,3069.99,,55,3000.0,,246.31,328.4,,,,329.87,,,,224.92,,,,,,,12,6.0,7.0,9.0,0.219380082347677,0.0,11.0,0.0
140,201408,1,107.0,63.0,,595.63,1133.0,700.0,700.0,30,700.0,700.0,373.15,249.89,119.99,,68.64,173.93,359.99,,,43.48,124.99,,281.96,488.6,280.0,485.0,10,5.0,11.0,0.0,-0.411786729965823,1.0,1.0,0.0
